,conf,pred,true,correct,prec_k,term
8223,12.031435,6,6,1,1.0,1.0
3131,12.02901,6,6,1,1.0,1.0
5181,12.020659,6,6,1,1.0,1.0
10146,12.017779,6,6,1,1.0,1.0
5286,12.011011,29,29,1,1.0,1.0
5812,11.980225,26,26,1,1.0,1.0
6465,11.97418,6,6,1,1.0,1.0
6982,11.973952,6,6,1,1.0,1.0
1454,11.973915,6,6,1,1.0,1.0
5683,11.967685,15,15,1,1.0,1.0
4605,11.961144,6,6,1,1.0,1.0
344,11.954911,41,41,1,1.0,1.0
1689,11.949446,6,6,1,1.0,1.0
10163,11.941267,28,28,1,1.0,1.0
2363,11.938588,6,6,1,1.0,1.0
596,11.936854,44,44,1,1.0,1.0
8382,11.934612,6,6,1,1.0,1.0
7747,11.930793,6,6,1,1.0,1.0
6864,11.928096,6,6,1,1.0,1.0
10063,11.918649,16,16,1,1.0,1.0
6859,11.900715,28,28,1,1.0,1.0
8619,11.897556,6,6,1,1.0,1.0
5764,11.896292,6,6,1,1.0,1.0
9586,11.89208,16,16,1,1.0,1.0
5281,11.874036,6,6,1,1.0,1.0
3281,11.867774,28,28,1,1.0,1.0
3371,11.86453,16,16,1,1.0,1.0
9656,11.851194,6,6,1,1.0,1.0
8760,11.85024,20,20,1,1.0,1.0
1399,11.849289,18,18,1,1.0,1.0
2600,11.845297,26,26,1,1.0,1.0
5901,11.833106,6,6,1,1.0,1.0
5161,11.830559,44,44,1,1.0,1.0
9592,11.828128,10,10,1,1.0,1.0
9729,11.827732,6,6,1,1.0,1.0
9951,11.821222,26,26,1,1.0,1.0
4966,11.816191,26,26,1,1.0,1.0
9178,11.813668,26,26,1,1.0,1.0
1526,11.811686,6,6,1,1.0,1.0
9281,11.794974,6,6,1,1.0,1.0
9611,11.79337,1,1,1,1.0,1.0
9054,11.790806,2,2,1,1.0,1.0
6407,11.78743,18,18,1,1.0,1.0
9312,11.785537,6,6,1,1.0,1.0
1996,11.782847,6,6,1,1.0,1.0
6967,11.777611,28,28,1,1.0,1.0
10136,11.775544,6,6,1,1.0,1.0
2138,11.773536,6,6,1,1.0,1.0
395,11.766662,31,31,1,1.0,1.0
5377,11.765707,28,28,1,1.0,1.0
642,11.765149,6,6,1,1.0,1.0
3788,11.764718,6,6,1,1.0,1.0
8062,11.760733,23,23,1,1.0,1.0
1937,11.740939,28,28,1,1.0,1.0
2430,11.737205,6,6,1,1.0,1.0
6023,11.736196,6,6,1,1.0,1.0
3063,11.707269,6,6,1,1.0,1.0
2007,11.705665,2,2,1,1.0,1.0
4352,11.700691,26,26,1,1.0,1.0
2725,11.682398,23,23,1,1.0,1.0
997,11.679745,28,28,1,1.0,1.0
6318,11.670028,8,8,1,1.0,1.0
6442,11.647853,6,6,1,1.0,1.0
4002,11.647262,6,6,1,1.0,1.0
2550,11.644732,6,6,1,1.0,1.0
1411,11.642822,6,6,1,1.0,1.0
2592,11.642454,6,6,1,1.0,1.0
9763,11.641949,18,18,1,1.0,1.0
7068,11.635862,6,6,1,1.0,1.0
1921,11.625995,6,6,1,1.0,1.0
7920,11.616002,6,6,1,1.0,1.0
212,11.612303,6,6,1,1.0,1.0
2402,11.605346,26,26,1,1.0,1.0
7159,11.589982,2,2,1,1.0,1.0
8164,11.569878,6,6,1,1.0,1.0
1791,11.564427,26,26,1,1.0,1.0
3742,11.550504,6,6,1,1.0,1.0
2500,11.53229,16,16,1,1.0,1.0
3293,11.531332,6,6,1,1.0,1.0
6941,11.528243,6,6,1,1.0,1.0
3772,11.528031,28,28,1,1.0,1.0
2587,11.509676,6,6,1,1.0,1.0
9938,11.508562,41,41,1,1.0,1.0
524,11.508448,6,6,1,1.0,1.0
8947,11.4964285,28,28,1,1.0,1.0
2307,11.495549,5,5,1,1.0,1.0
2446,11.492649,28,28,1,1.0,1.0
6307,11.486665,18,18,1,1.0,1.0
9831,11.4845295,6,6,1,1.0,1.0
3657,11.484062,18,18,1,1.0,1.0
3830,11.481571,2,2,1,1.0,1.0
5452,11.475666,6,6,1,1.0,1.0
6761,11.473595,28,28,1,1.0,1.0
3182,11.464644,28,28,1,1.0,1.0
5423,11.464439,6,6,1,1.0,1.0
8245,11.460229,26,26,1,1.0,1.0
5886,11.45553,6,6,1,1.0,1.0
3598,11.450801,6,6,1,1.0,1.0
2817,11.44545,6,6,1,1.0,1.0
3888,11.439753,6,6,1,1.0,1.0
9909,11.438691,2,2,1,1.0,1.0
8955,11.436158,6,6,1,1.0,1.0
7414,11.428784,18,18,1,1.0,1.0
3962,11.414246,28,28,1,1.0,1.0
3431,11.411407,37,37,1,1.0,1.0
7898,11.401558,6,6,1,1.0,1.0
6067,11.401457,2,2,1,1.0,1.0
2168,11.390005,26,26,1,1.0,1.0
4334,11.38599,6,6,1,1.0,1.0
7036,11.38374,6,6,1,1.0,1.0
3366,11.379762,6,6,1,1.0,1.0
5376,11.378077,6,6,1,1.0,1.0
7276,11.369178,37,37,1,1.0,1.0
8612,11.3653345,28,28,1,1.0,1.0
2856,11.363345,6,6,1,1.0,1.0
6806,11.346632,6,6,1,1.0,1.0
9081,11.335047,18,18,1,1.0,1.0
4108,11.330495,6,6,1,1.0,1.0
8572,11.326285,6,6,1,1.0,1.0
7800,11.324461,6,6,1,1.0,1.0
10121,11.305973,28,28,1,1.0,1.0
3674,11.302439,13,13,1,1.0,1.0
9587,11.298526,6,6,1,1.0,1.0
8033,11.295501,16,16,1,1.0,1.0
9137,11.281367,36,36,1,1.0,1.0
3692,11.280202,6,6,1,1.0,1.0
3546,11.274334,29,29,1,1.0,1.0
903,11.270095,1,1,1,1.0,1.0
2897,11.268967,16,16,1,1.0,1.0
9014,11.264329,2,2,1,1.0,1.0
6639,11.26354,18,18,1,1.0,1.0
3185,11.258548,6,6,1,1.0,1.0
4988,11.256836,18,18,1,1.0,1.0
4589,11.25244,6,6,1,1.0,1.0
4781,11.248746,6,6,1,1.0,1.0
7809,11.240716,6,6,1,1.0,1.0
8252,11.23063,6,6,1,1.0,1.0
3513,11.227642,6,6,1,1.0,1.0
9683,11.22053,28,28,1,1.0,1.0
9834,11.219429,18,18,1,1.0,1.0
7259,11.216361,41,41,1,1.0,1.0
4197,11.20616,16,16,1,1.0,1.0
2081,11.202584,16,16,1,1.0,1.0
3887,11.195668,6,6,1,1.0,1.0
9204,11.189171,6,6,1,1.0,1.0
6500,11.18757,6,6,1,1.0,1.0
502,11.187102,6,6,1,1.0,1.0
8929,11.180276,28,28,1,1.0,1.0
2347,11.176105,6,6,1,1.0,1.0
4777,11.171807,26,26,1,1.0,1.0
2112,11.169597,39,39,1,1.0,1.0
1933,11.163882,6,6,1,1.0,1.0
4531,11.159691,18,18,1,1.0,1.0
3863,11.157679,6,6,1,1.0,1.0
5083,11.157101,27,27,1,1.0,1.0
4805,11.15456,28,28,1,1.0,1.0
7964,11.148756,6,6,1,1.0,1.0
9857,11.132702,18,18,1,1.0,1.0
5869,11.127665,6,6,1,1.0,1.0
1330,11.11942,2,2,1,1.0,1.0
5470,11.116187,6,6,1,1.0,1.0
8496,11.111811,23,23,1,1.0,1.0
5206,11.111056,6,6,1,1.0,1.0
4213,11.110041,2,2,1,1.0,1.0
114,11.109365,6,6,1,1.0,1.0
2557,11.09821,6,6,1,1.0,1.0
532,11.097323,1,1,1,1.0,1.0
3240,11.087659,6,6,1,1.0,1.0
8161,11.084926,37,37,1,1.0,1.0
378,11.08201,18,18,1,1.0,1.0
3798,11.071878,16,16,1,1.0,1.0
10042,11.066534,6,6,1,1.0,1.0
8238,11.065085,6,6,1,1.0,1.0
7457,11.049912,6,6,1,1.0,1.0
6975,11.045771,6,6,1,1.0,1.0
2421,11.045199,6,6,1,1.0,1.0
2809,11.037673,32,32,1,1.0,1.0
7788,11.031467,36,36,1,1.0,1.0
2237,11.017054,6,6,1,1.0,1.0
8263,11.004099,28,28,1,1.0,1.0
1449,11.0024805,6,6,1,1.0,1.0
3621,10.996104,6,6,1,1.0,1.0
2609,10.993619,6,6,1,1.0,1.0
154,10.992002,6,6,1,1.0,1.0
8927,10.988064,6,6,1,1.0,1.0
7408,10.985102,6,6,1,1.0,1.0
4760,10.981226,6,6,1,1.0,1.0
6204,10.978741,31,31,1,1.0,1.0
3979,10.97584,42,42,1,1.0,1.0
1632,10.959918,6,6,1,1.0,1.0
8553,10.9572,6,6,1,1.0,1.0
1090,10.954646,6,6,1,1.0,1.0
734,10.949173,13,13,1,1.0,1.0
1998,10.948892,6,6,1,1.0,1.0
7732,10.947414,6,6,1,1.0,1.0
8302,10.941804,36,36,1,1.0,1.0
5743,10.937321,6,6,1,1.0,1.0
4741,10.929949,18,18,1,1.0,1.0
6644,10.924994,16,16,1,1.0,1.0
5996,10.921327,2,2,1,1.0,1.0
2558,10.920737,41,41,1,1.0,1.0
7819,10.916524,26,26,1,1.0,1.0
7474,10.914472,1,1,1,1.0,1.0
4962,10.9137335,6,6,1,1.0,1.0
4424,10.913101,18,18,1,1.0,1.0
6400,10.91173,6,6,1,1.0,1.0
1138,10.908895,6,6,1,1.0,1.0
5542,10.906958,6,6,1,1.0,1.0
8049,10.9039,6,6,1,1.0,1.0
7899,10.902237,1,1,1,1.0,1.0
4613,10.900186,28,28,1,1.0,1.0
10157,10.895055,6,6,1,1.0,1.0
2514,10.894517,41,41,1,1.0,1.0
6666,10.892661,6,6,1,1.0,1.0
5848,10.8894615,18,18,1,1.0,1.0
4321,10.878238,6,6,1,1.0,1.0
309,10.8781185,31,31,1,1.0,1.0
9569,10.877595,6,6,1,1.0,1.0
4561,10.869491,6,6,1,1.0,1.0
8543,10.868996,41,41,1,1.0,1.0
2823,10.867738,6,6,1,1.0,1.0
4190,10.857864,18,18,1,1.0,1.0
6877,10.852892,6,6,1,1.0,1.0
4351,10.852726,6,6,1,1.0,1.0
4130,10.840097,6,6,1,1.0,1.0
9901,10.833934,6,6,1,1.0,1.0
2210,10.827994,6,6,1,1.0,1.0
8390,10.822867,28,28,1,1.0,1.0
4504,10.812143,36,36,1,1.0,1.0
6100,10.809158,18,18,1,1.0,1.0
10034,10.807234,18,18,1,1.0,1.0
3096,10.801435,43,43,1,1.0,1.0
6826,10.8012295,6,6,1,1.0,1.0
2541,10.791827,6,6,1,1.0,1.0
8439,10.785798,6,6,1,1.0,1.0
6514,10.773248,26,26,1,1.0,1.0
578,10.770269,6,6,1,1.0,1.0
3461,10.768316,6,6,1,1.0,1.0
5945,10.764574,2,2,1,1.0,1.0
10153,10.760954,16,16,1,1.0,1.0
5129,10.757512,41,41,1,1.0,1.0
2234,10.748464,6,6,1,1.0,1.0
2253,10.745877,26,26,1,1.0,1.0
7088,10.743264,6,6,1,1.0,1.0
3215,10.7373705,6,6,1,1.0,1.0
6145,10.7371435,6,6,1,1.0,1.0
2748,10.732559,6,6,1,1.0,1.0
4369,10.729956,6,6,1,1.0,1.0
7774,10.725843,6,6,1,1.0,1.0
2607,10.712907,6,6,1,1.0,1.0
1910,10.712892,6,6,1,1.0,1.0
9478,10.7115965,6,6,1,1.0,1.0
1007,10.709353,6,6,1,1.0,1.0
6955,10.708047,28,28,1,1.0,1.0
9916,10.706506,6,6,1,1.0,1.0
7772,10.70074,16,16,1,1.0,1.0
2944,10.68131,28,28,1,1.0,1.0
7603,10.680965,18,18,1,1.0,1.0
4722,10.680192,29,29,1,1.0,1.0
101,10.6791525,6,6,1,1.0,1.0
2280,10.676587,6,6,1,1.0,1.0
7689,10.676108,6,6,1,1.0,1.0
1621,10.671554,6,6,1,1.0,1.0
6294,10.670776,6,6,1,1.0,1.0
856,10.6663885,6,6,1,1.0,1.0
8091,10.663348,6,6,1,1.0,1.0
798,10.659349,6,6,1,1.0,1.0
8519,10.646465,18,18,1,1.0,1.0
8693,10.645556,6,6,1,1.0,1.0
888,10.644097,6,6,1,1.0,1.0
908,10.638767,2,2,1,1.0,1.0
9821,10.638527,6,6,1,1.0,1.0
4952,10.633618,41,41,1,1.0,1.0
9855,10.628886,36,36,1,1.0,1.0
7315,10.627648,44,44,1,1.0,1.0
3918,10.627299,6,6,1,1.0,1.0
6840,10.623127,6,6,1,1.0,1.0
1511,10.622572,18,18,1,1.0,1.0
7187,10.621844,6,6,1,1.0,1.0
4629,10.621792,41,41,1,1.0,1.0
2209,10.619876,6,6,1,1.0,1.0
7109,10.618842,6,6,1,1.0,1.0
2144,10.615428,28,28,1,1.0,1.0
5363,10.613974,6,6,1,1.0,1.0
2327,10.608845,26,26,1,1.0,1.0
5884,10.604655,6,6,1,1.0,1.0
9472,10.603784,6,6,1,1.0,1.0
8246,10.602176,28,28,1,1.0,1.0
4864,10.593713,6,6,1,1.0,1.0
7487,10.586106,28,28,1,1.0,1.0
2385,10.583454,36,36,1,1.0,1.0
3586,10.582599,41,41,1,1.0,1.0
6293,10.581203,23,23,1,1.0,1.0
7631,10.577226,27,27,1,1.0,1.0
9362,10.571295,6,6,1,1.0,1.0
6288,10.56944,6,6,1,1.0,1.0
1357,10.568238,26,26,1,1.0,1.0
1206,10.568172,28,28,1,1.0,1.0
6052,10.565764,1,1,1,1.0,1.0
7493,10.565749,6,6,1,1.0,1.0
6905,10.564013,6,6,1,1.0,1.0
1636,10.559929,6,6,1,1.0,1.0
923,10.55977,6,6,1,1.0,1.0
8086,10.555652,6,6,1,1.0,1.0
2606,10.554948,6,6,1,1.0,1.0
8778,10.552846,18,18,1,1.0,1.0
5303,10.55144,6,6,1,1.0,1.0
8271,10.540893,6,6,1,1.0,1.0
2071,10.537034,6,6,1,1.0,1.0
9805,10.528671,36,36,1,1.0,1.0
2956,10.527585,26,26,1,1.0,1.0
7433,10.525874,6,6,1,1.0,1.0
8539,10.515507,6,6,1,1.0,1.0
4047,10.510481,6,6,1,1.0,1.0
5931,10.508933,26,26,1,1.0,1.0
3538,10.505391,6,6,1,1.0,1.0
8570,10.49408,18,18,1,1.0,1.0
6987,10.489267,16,16,1,1.0,1.0
5697,10.488311,6,6,1,1.0,1.0
6727,10.488188,6,6,1,1.0,1.0
6061,10.486448,18,18,1,1.0,1.0
7381,10.486354,37,37,1,1.0,1.0
1168,10.485024,18,18,1,1.0,1.0
7941,10.469564,18,18,1,1.0,1.0
5421,10.467417,6,6,1,1.0,1.0
3856,10.461912,6,6,1,1.0,1.0
10074,10.461671,6,6,1,1.0,1.0
639,10.460871,18,18,1,1.0,1.0
1637,10.457598,37,37,1,1.0,1.0
8194,10.456888,18,18,1,1.0,1.0
9402,10.456678,41,41,1,1.0,1.0
3642,10.455601,18,18,1,1.0,1.0
2346,10.454368,29,29,1,1.0,1.0
4555,10.448054,28,28,1,1.0,1.0
5533,10.444503,4,4,1,1.0,1.0
329,10.441008,14,14,1,1.0,1.0
8887,10.438385,18,18,1,1.0,1.0
5021,10.435789,6,6,1,1.0,1.0
8493,10.435292,6,6,1,1.0,1.0
2850,10.431624,6,6,1,1.0,1.0
9383,10.4167385,6,6,1,1.0,1.0
6906,10.415424,6,6,1,1.0,1.0
6485,10.414565,28,28,1,1.0,1.0
38,10.413892,6,6,1,1.0,1.0
5521,10.4114275,6,6,1,1.0,1.0
1072,10.411133,10,10,1,1.0,1.0
2187,10.410193,18,18,1,1.0,1.0
2736,10.399422,6,6,1,1.0,1.0
7349,10.397898,1,1,1,1.0,1.0
3396,10.396382,6,6,1,1.0,1.0
2303,10.391376,4,4,1,1.0,1.0
4654,10.390698,6,6,1,1.0,1.0
5318,10.388536,6,6,1,1.0,1.0
9928,10.38414,13,13,1,1.0,1.0
5189,10.381421,6,6,1,1.0,1.0
5541,10.3766365,23,23,1,1.0,1.0
7619,10.376127,6,6,1,1.0,1.0
307,10.375853,41,41,1,1.0,1.0
984,10.370695,6,6,1,1.0,1.0
1911,10.364702,23,23,1,1.0,1.0
6444,10.362648,18,18,1,1.0,1.0
1286,10.361658,28,28,1,1.0,1.0
9173,10.353862,6,6,1,1.0,1.0
6332,10.350668,6,6,1,1.0,1.0
3159,10.345546,6,6,1,1.0,1.0
326,10.343928,20,20,1,1.0,1.0
193,10.342725,26,26,1,1.0,1.0
2249,10.340222,39,39,1,1.0,1.0
9189,10.339769,41,41,1,1.0,1.0
2125,10.335623,36,36,1,1.0,1.0
256,10.335202,16,16,1,1.0,1.0
323,10.331084,18,18,1,1.0,1.0
6308,10.329546,6,6,1,1.0,1.0
6083,10.329398,6,6,1,1.0,1.0
516,10.32856,6,6,1,1.0,1.0
1610,10.323506,6,6,1,1.0,1.0
3491,10.32339,6,6,1,1.0,1.0
7321,10.323343,28,28,1,1.0,1.0
6341,10.320982,18,18,1,1.0,1.0
9153,10.320188,26,26,1,1.0,1.0
1166,10.314168,36,36,1,1.0,1.0
9477,10.311792,31,31,1,1.0,1.0
1768,10.309111,6,6,1,1.0,1.0
8466,10.303632,6,6,1,1.0,1.0
4446,10.302724,6,6,1,1.0,1.0
7373,10.295632,6,6,1,1.0,1.0
1720,10.294136,6,6,1,1.0,1.0
5929,10.2888365,6,6,1,1.0,1.0
8047,10.281324,18,18,1,1.0,1.0
2140,10.280214,37,37,1,1.0,1.0
3370,10.275149,0,0,1,1.0,1.0
4610,10.271933,6,6,1,1.0,1.0
4848,10.271926,6,6,1,1.0,1.0
2594,10.270431,6,6,1,1.0,1.0
8804,10.269804,18,18,1,1.0,1.0
7595,10.258985,6,6,1,1.0,1.0
1096,10.253625,6,6,1,1.0,1.0
9167,10.252987,18,18,1,1.0,1.0
7726,10.250725,10,10,1,1.0,1.0
